No.,Time,Source,Destination,Protocol,Length,Info
5254,10.848882,192.168.1.2,91.108.23.100,HTTP,382,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5256,10.869363,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5261,10.883922,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5268,10.911343,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5271,10.920809,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5275,10.942703,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5284,10.953842,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5286,10.972449,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5294,10.984925,192.168.1.2,91.108.23.100,HTTP,238,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5297,11.005649,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5300,11.015686,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5302,11.039044,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5311,11.049753,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5315,11.067832,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5323,11.079677,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5333,11.153008,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5336,11.162691,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5338,11.164003,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5341,11.174868,192.168.1.2,91.108.23.100,HTTP,238,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5348,11.221483,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
